모델명,제조사,유종,배기량,변속형식,복합연비,등급,배출량(CO2),자동차유형
BMW X6 xDrive30d WLTP,BMW,경유,2993,자동8,10,4등급,195,다목적형
PILOT,혼다,휘발유,3471,자동9,8.4,5등급,201,다목적형
BMW X6 M50d WLTP,BMW,경유,2993,자동8,8.9,5등급,221,다목적형
Aventador S Roadster,람보르기니,휘발유,6498,자동7,4.4,5등급,408,일반형
마세라티 기블리 디젤,마세라티,경유,2987,자동8,10,4등급,196,일반형
마세라티 콰트로포르테 디젤,마세라티,경유,2987,자동8,9.4,4등급,208,일반형
BMW M2 Competition Package,BMW,휘발유,2979,자동7,9,5등급,193,일반형
짚 랭글러 사하라,크라이슬러,휘발유,1995,자동8,9,5등급,193,다목적형
PILOT,혼다,휘발유,3471,자동9,8.4,5등급,201,다목적형
모하비 3.0 디젤 4WD 5인,기아,경유,2959,자동8,9.6,4등급,205,다목적형
모하비 3.0 디젤 2WD 5인,기아,경유,2959,자동8,10.1,4등급,193,다목적형
K3 1.6 T-GDI 4DR 7DCT (SUMMER TIRE),기아,휘발유,1591,자동7,12.1,3등급,139,일반형
K3 1.6 T-GDI 4DR 6MT (ALL SEASON TIRE),기아,휘발유,1591,수동6,12.2,3등급,138,일반형
K3 1.6 T-GDI 4DR 7DCT (ALL SEASON TIRE),기아,휘발유,1591,자동7,12.2,3등급,138,일반형
K3 1.6 T-GDI 5DR 7DCT (SUMMER TIRE),기아,휘발유,1591,자동7,11.9,3등급,141,일반형
K3 1.6 T-GDI 5DR 7DCT (ALL SEASON TIRE),기아,휘발유,1591,자동7,12.1,3등급,139,일반형
모하비 3.0 디젤 2WD 7인,기아,경유,2959,자동8,10.1,4등급,193,다목적형
모하비 3.0 디젤 4WD 7인,기아,경유,2959,자동8,9.6,4등급,205,다목적형
BMW 435d xDrive Gran Coupe WLTP,BMW,경유,2993,자동8,11.5,4등급,167,일반형
BMW X6 xDrive40d WLTP,BMW,경유,2993,자동8,9.4,4등급,207,다목적형
"G4 렉스턴 2.2 7AT 2WD SCR 5인승					",쌍용,경유,2157,자동7,10.5,4등급,186,다목적형
"G4 렉스턴 2.2 7AT 4WD SCR 5인승				",쌍용,경유,2157,자동7,10.1,4등급,194,다목적형
스팅어 2.2디젤 2WD_17인치타이어,기아,경유,2199,자동8,15,2등급,126,일반형
스팅어 2.2디젤 AWD_18인치타이어,기아,경유,2199,자동8,13,3등급,147,일반형
스팅어 2.2디젤 2WD_18인치타이어,기아,경유,2199,자동8,14.1,2등급,135,일반형
스팅어 2.2디젤 AWD_17인치타이어,기아,경유,2199,자동8,13.3,3등급,143,일반형
BMW 320d xDrive Gran Turismo WLTP,BMW,경유,1995,자동8,12.1,3등급,158,일반형
i30 1.6T-GDI_7DCT (N_Line),현대,휘발유,1591,자동7,11.8,3등급,143,일반형
Rolls-Royce Cullinan,롤스로이스,휘발유,6749,자동8,5.6,5등급,319,일반형
BMW X4 M40d,BMW,경유,2993,자동8,10.7,4등급,182,다목적형
BMW 320d Gran Turismo WLTP,BMW,경유,1995,자동8,13,3등급,147,일반형
i30 1.6T-GDI_6MT (N_Line),현대,휘발유,1591,수동6,11.4,4등급,148,일반형
렉서스 ES300h,토요타,휘발유,2487,무단변속,17,1등급,93,일반형
그랜드스타렉스(PE2)2.5디젤 4WD 리무진 (6P_N/HR),현대,경유,2497,자동5,8.3,5등급,237,일반형
MINI Cooper SD Clubman,MINI,경유,1995,자동8,14.6,2등급,129,일반형
그랜드스타렉스(PE2)2.5디젤 4WD 리무진 (9P_N/HR),현대,경유,2497,자동5,8.3,5등급,237,일반형
"G80 3.3GDI AWD 19MY (19""타이어)",현대,휘발유,3342,자동8,8.3,5등급,205,일반형
"G80 3.3GDI AWD 19MY (18""타이어)",현대,휘발유,3342,자동8,8.4,5등급,202,일반형
"G80 3.3GDI 2WD 19MY (19""타이어)",현대,휘발유,3342,자동8,8.9,5등급,190,일반형
"G80 3.3GDI 2WD 19MY (18""타이어)",현대,휘발유,3342,자동8,9.1,5등급,186,일반형
"G80 3.3GDI AWD 스포츠패키지 19MY (19""타이어)",현대,휘발유,3342,자동8,8.2,5등급,207,일반형
"G80 3.3GDI 2WD 스포츠패키지 19MY (19""타이어)",현대,휘발유,3342,자동8,8.8,5등급,192,일반형
"G80 2.2디젤 AWD 19MY (18""타이어)",현대,경유,2199,자동8,12.2,3등급,158,일반형
"G80 2.2디젤 2WD 19MY (18""타이어)",현대,경유,2199,자동8,13.8,2등급,138,일반형
마칸 S 디젤,포르쉐,경유,2967,자동7,10.8,4등급,179,다목적형
"G4 렉스턴 2.2 7AT 2WD SCR 7인승					",쌍용,경유,2157,자동7,10.5,4등급,186,다목적형
"G4 렉스턴 2.2 7AT 4WD SCR 7인승				",쌍용,경유,2157,자동7,10.1,4등급,194,다목적형
아반떼(AD PE) 1.6디젤_7DCT (17''타이어),현대,경유,1582,자동7,17.2,1등급,108,일반형
아반떼(AD PE) 1.6디젤 7DCT,현대,경유,1582,자동7,17.8,1등급,104,일반형
아반떼(AD PE) 1.6가솔린,현대,휘발유,1598,수동6,14,2등급,119,일반형
아반떼(AD PE) 1.6가솔린 (17'''타이어),현대,휘발유,1598,무단변속,14.1,2등급,118,일반형
아반떼(AD PE) 1.6가솔린 (16'''타이어),현대,휘발유,1598,무단변속,14.4,2등급,115,일반형
아반떼(AD PE) 1.6가솔린 (15'''타이어),현대,휘발유,1598,무단변속,15.2,2등급,108,일반형
BMW 420d xDrive Gran Coupe WLTP,BMW,경유,1995,자동8,11.9,3등급,162,일반형
BMW 420d Grand Coupe WLTP,BMW,경유,1995,자동8,12.4,3등급,153,일반형
DS7 Crossback 2.0 BlueHDi,PSA Automobiles,경유,1997,자동8,12.8,3등급,149,다목적형
MINI Cooper SD Countryman ALL4,MINI,경유,1995,자동8,13.2,3등급,144,다목적형
MINI Cooper D Countryman ALL4,MINI,경유,1995,자동8,13.4,3등급,141,다목적형
BMW M550d xDrive WLTP,BMW,경유,2993,자동8,11.2,4등급,173,일반형
BMW 740Ld xDrive WLTP,BMW,경유,2993,자동8,11.1,4등급,174,일반형
BMW 420d Coupe WLTP,BMW,경유,1995,자동8,13.7,3등급,139,일반형
BMW 530d WLTP,BMW,경유,2993,자동8,12.6,3등급,151,일반형
"스포티지 2.0디젤 2WD 6MT (PE/19""타이어)",기아,경유,1995,수동6,14.3,2등급,132,다목적형
"스포티지 2.0디젤 2WD 6MT (PE/18""타이어)",기아,경유,1995,수동6,14.4,2등급,131,다목적형
"스포티지 2.0디젤 2WD 6MT (PE/17""타이어)",기아,경유,1995,수동6,15,2등급,125,다목적형
"스토닉 1.0 T-GDI 7DCT (17""타이어)",기아,휘발유,998,자동7,13.5,3등급,123,기타형
"스토닉 1.0 T-GDI 7DCT (15""타이어)",기아,휘발유,998,자동7,13.7,3등급,121,기타형
BMW 740d xDrive WLTP,BMW,경유,2993,자동8,11.6,3등급,166,일반형
BMW 730d xDrive WLTP,BMW,경유,2993,자동8,11.6,3등급,166,일반형
"K7 2.2디젤 (19""타이어)",기아,경유,2199,자동8,14.1,2등급,135,일반형
"K7 2.2디젤 (18""타이어)",기아,경유,2199,자동8,14.5,2등급,131,일반형
"K7 2.2디젤 (17""타이어)",기아,경유,2199,자동8,14.6,2등급,130,일반형
"스토닉 1.6디젤 7DCT 19MY (15"" 타이어) (15)",기아,경유,1582,자동7,17,1등급,109,기타형
"스토닉 1.6디젤 7DCT 19MY (17"" 타이어) (15)",기아,경유,1582,자동7,16.7,1등급,111,기타형
"스토닉 1.4 가솔린 6AT 19MY (17""타이어) (15)",기아,휘발유,1368,자동6,12.6,3등급,132,기타형
BMW X1 xDrive20d,BMW,경유,1995,자동8,14.4,2등급,131,다목적형
BMW X1 xDrive18d,BMW,경유,1995,자동8,12,3등급,159,다목적형
BMW X2 xDrive20d,BMW,경유,1995,자동8,14.2,2등급,133,다목적형
MINI Cooper D Clubman,MINI,경유,1995,자동8,14.7,2등급,128,일반형
MINI Cooper SD,MINI,경유,1995,자동8,16.1,1등급,116,일반형
BMW M3 CS,BMW,휘발유,2979,자동7,9.1,5등급,190,일반형
S450 4Matic Coupe,벤츠,휘발유,2996,자동9,8.6,5등급,205,일반형
HR-V 2WD,혼다,휘발유,1799,무단변속,11.7,3등급,141,다목적형
"스포티지 2.0MPI (PE/17""타이어)",기아,휘발유,1999,자동6,10.8,4등급,156,다목적형
"스포티지 2.0디젤 4WD (PE/19""타이어)",기아,경유,1995,자동8,12.4,3등급,154,다목적형
"스포티지 2.0디젤 4WD (PE/18""타이어)",기아,경유,1995,자동8,12.7,3등급,151,다목적형
"스포티지 2.0디젤 4WD (PE/17""타이어)",기아,경유,1995,자동8,12.9,3등급,148,다목적형
"스포티지 2.0디젤 2WD 8AT (PE/19""타이어)",기아,경유,1995,자동8,13.8,2등급,137,다목적형
"스포티지 2.0디젤 2WD 8AT (PE/18""타이어)",기아,경유,1995,자동8,14.1,2등급,134,다목적형
"스포티지 2.0디젤 2WD 8AT (PE/17""타이어)",기아,경유,1995,자동8,14.4,2등급,131,다목적형
"스포티지 1.6디젤 2WD (PE/18""타이어)",기아,경유,1598,자동7,15.8,2등급,118,다목적형
"스포티지 1.6디젤 2WD (PE/17""타이어)",기아,경유,1598,자동7,16.3,1등급,114,다목적형
"스포티지 2.0MPI (PE/18"",19""타이어)",기아,휘발유,1999,자동6,10.5,4등급,161,다목적형
"니로 전기차 (경제형, 39.2kWh)",기아,전기,,없음,5.5,고속(전기),0,기타형
"니로 전기차 (경제형, 39.2kWh)",기아,전기,,없음,5.5,고속(전기),0,기타형
BMW 118d WLTP,BMW,경유,1995,자동8,13.9,2등급,136,일반형
MINI Cooper D Five Door,MINI,경유,1496,자동7,16.5,1등급,113,일반형
MINI Cooper D,MINI,경유,1496,자동7,16.9,1등급,109,일반형
MINI Cooper SD Five Door,MINI,경유,1995,자동8,15.8,2등급,119,일반형
"스포티지 1.6디젤 4WD (PE/19""타이어)",기아,경유,1598,자동7,13.8,2등급,137,다목적형
"스포티지 1.6디젤 4WD (PE/18""타이어)",기아,경유,1598,자동7,14.1,2등급,134,다목적형
"스포티지 1.6디젤 4WD (PE/17""타이어)",기아,경유,1598,자동7,14.6,2등급,129,다목적형
"스포티지 1.6디젤 2WD (PE/19""타이어)",기아,경유,1598,자동7,15.3,2등급,122,다목적형
"니로 전기차 (기본형, 64kWh)",기아,전기,,없음,5.3,고속(전기),0,기타형
"니로 전기차 (기본형, 64kWh)",기아,전기,,없음,5.3,고속(전기),0,기타형
BMW 520i,BMW,휘발유,1998,자동8,10.9,4등급,153,일반형
"투싼 개조차 2.0디젤 2WD 8AT (19""타이어)",현대,경유,1995,자동8,13.8,2등급,137,다목적형
"투싼 개조차 2.0디젤 2WD 8AT (18""타이어)",현대,경유,1995,자동8,14.1,2등급,134,다목적형
BMW 320d Touring WLTP,BMW,경유,1995,자동8,12.8,3등급,149,일반형
ACCORD 1.5T,혼다,휘발유,1498,무단변속,13.9,2등급,118,일반형
A5 Sportback 45 TFSI quattro,아우디,휘발유,1984,자동7,10.1,4등급,169,일반형
"투싼 개조차 2.0디젤 2WD 8AT (17""타이어)",현대,경유,1995,자동8,14.4,2등급,131,다목적형
"투싼 개조차 1.6디젤 2WD (19""타이어)",현대,경유,1598,자동7,15.3,2등급,122,다목적형
"투싼 개조차 1.6디젤 2WD (17""타이어)",현대,경유,1598,자동7,16.3,1등급,115,다목적형
"투싼 개조차 1.6디젤 2WD (18""타이어)",현대,경유,1598,자동7,15.8,2등급,118,다목적형
"투싼 개조차 2.0디젤 2WD 6MT (19""타이어)",현대,경유,1995,수동6,14.4,2등급,131,다목적형
"투싼 개조차 2.0디젤 2WD 6MT (18""타이어)",현대,경유,1995,수동6,14.7,2등급,128,다목적형
"투싼 개조차 2.0디젤 2WD 6MT (17""타이어)",현대,경유,1995,수동6,15.1,2등급,124,다목적형
"투싼 개조차 2.0디젤 AWD (19""타이어)",현대,경유,1995,자동8,12.4,3등급,154,다목적형
"투싼 개조차 2.0디젤 AWD (18""타이어)",현대,경유,1995,자동8,12.7,3등급,151,다목적형
"투싼 개조차 2.0디젤 AWD (17""타이어)",현대,경유,1995,자동8,13.1,3등급,145,다목적형
"투싼 개조차 1.6디젤 AWD (19""타이어)",현대,경유,1598,자동7,13.8,2등급,137,다목적형
"투싼 개조차 1.6디젤 AWD (18""타이어)",현대,경유,1598,자동7,14.1,2등급,134,다목적형
"투싼 개조차 1.6디젤 AWD (17""타이어)",현대,경유,1598,자동7,14.4,2등급,130,다목적형
짚 랭글러 루비콘,크라이슬러,휘발유,1995,자동8,8.2,5등급,210,다목적형
ACCORD HYBRID,혼다,휘발유,1993,무단변속,18.9,1등급,82,일반형
"투싼 개조차 1.6T-GDI 2WD (19""타이어)",현대,휘발유,1591,자동7,11.3,4등급,148,다목적형
"투싼 개조차 1.6T-GDI 2WD (17""타이어)",현대,휘발유,1591,자동7,11.9,3등급,141,다목적형
"투싼 개조차 1.6T-GDI AWD (18""타이어)",현대,휘발유,1591,자동7,10.7,4등급,157,다목적형
"투싼 개조차 1.6T-GDI AWD (19""타이어)",현대,휘발유,1591,자동7,10.4,4등급,162,다목적형
"카니발 2.2디젤 하이리무진 11인(18"" 타이어)",기아,경유,2199,자동8,10.3,4등급,189,일반형
"카니발 2.2디젤 하이리무진 9인(18"" 타이어)",기아,경유,2199,자동8,10.3,4등급,189,기타형
짚 체로키 2.2,크라이슬러,경유,2184,자동9,12.6,3등급,152,다목적형
A5 Cabriolet 45 TFSI quattro,아우디,휘발유,1984,자동7,9.7,4등급,177,일반형
A5 Coupe 45 TFSI quattro,아우디,휘발유,1984,자동7,10.3,4등급,166,일반형
"투싼 개조차 1.6T-GDI 2WD (18""타이어)",현대,휘발유,1591,자동7,11.6,3등급,144,다목적형
"투싼 개조차 1.6T-GDI AWD (17""타이어)",현대,휘발유,1591,자동7,10.9,4등급,154,다목적형
"카니발 2.2디젤 하이리무진 7인(19"" 타이어)",기아,경유,2199,자동8,10.3,4등급,189,기타형
"카니발 2.2디젤 아웃도어 9인(19"" 타이어)",기아,경유,2199,자동8,10.3,4등급,189,기타형
"카니발 2.2디젤 하이리무진 9인(19"" 타이어)",기아,경유,2199,자동8,10.3,4등급,189,기타형
카니발 3.3GDI 하이리무진 7인,기아,휘발유,3342,자동8,7.9,5등급,218,기타형
스파크 밴 1.0,한국지엠,휘발유,999,수동5,15,경형,109,밴형
스파크 밴 1.0,한국지엠,휘발유,999,무단변속,15,경형,109,밴형
짚 레니게이드,크라이슬러,경유,1956,자동9,11.8,3등급,163,다목적형
레인지로버 5.0SC SWB,랜드로버,휘발유,4999,자동8,5.6,5등급,309,다목적형
스파크 1.0,한국지엠,휘발유,999,수동5,15,경형,109,일반형
스파크 1.0,한국지엠,휘발유,999,무단변속,15,경형,109,일반형
스팅어 2.0T-GDI AWD_19인치타이어_19MY,기아,휘발유,1998,자동8,9.4,4등급,179,일반형
스팅어 2.0T-GDI AWD_18인치타이어_19MY,기아,휘발유,1998,자동8,9.6,4등급,175,일반형
그랜드스타렉스(PE2)2.5디젤 리무진 (9P_N/HR),현대,경유,2497,자동5,8.9,5등급,222,기타형
그랜드스타렉스(PE2)2.5디젤 리무진 (6P_N/HR),현대,경유,2497,자동5,8.9,5등급,222,일반형
레인지로버 5.0SC SVA Dynamic,랜드로버,휘발유,4999,자동8,6.5,5등급,263,다목적형
스팅어 2.0T-GDI 2WD_19인치타이어_19MY,기아,휘발유,1998,자동8,10.1,4등급,165,일반형
스팅어 3.3T-GDI AWD_19인치타이어_19MY,기아,휘발유,3342,자동8,8.4,5등급,202,일반형
스팅어 3.3T-GDI 2WD_19인치타이어_19MY,기아,휘발유,3342,자동8,8.8,5등급,192,일반형
카니발 3.3GDI 하이리무진 9인,기아,휘발유,3342,자동8,7.6,5등급,228,기타형
K5 개조차 2.0LPI AT_택시,기아,LPG,1999,자동6,9.4,4등급,139,일반형
ACCORD 1.5T,혼다,휘발유,1498,무단변속,13.9,2등급,118,일반형
Mercedes-AMG GT R,벤츠,휘발유,3982,자동7,7.1,5등급,251,일반형
K5 2.0GDI 하이브리드 개조차_17인치타이어,기아,휘발유,1999,자동6,17.2,1등급,94,일반형
K5 2.0GDI 하이브리드 개조차_16인치타이어,기아,휘발유,1999,자동6,18,1등급,89,일반형
쏘렌토(19MY) 2.2디젤 AWD ISG 5인 18인치,기아,경유,2199,자동8,12.4,3등급,154,다목적형
쏘렌토(19MY) 2.2디젤 AWD ISG 7인 18인치,기아,경유,2199,자동8,12.2,3등급,157,다목적형
쏘렌토(19MY) 2.0디젤 AWD ISG 5인 18인치,기아,경유,1995,자동8,12.4,3등급,155,다목적형
쏘렌토(19MY) 2.0디젤 AWD ISG 7인 18인치,기아,경유,1995,자동8,12.2,3등급,158,다목적형
쏘렌토(19MY) 2.2디젤 AWD ISG 5인 19인치,기아,경유,2199,자동8,12.2,3등급,157,다목적형
쏘렌토(19MY) 2.0디젤 AWD ISG 5인 19인치,기아,경유,1995,자동8,12,3등급,160,다목적형
쏘렌토(19MY) 2.0디젤 AWD ISG 7인 19인치,기아,경유,1995,자동8,11.7,3등급,165,다목적형
쏘렌토(19MY) 2.2디젤 AWD ISG 7인 19인치,기아,경유,2199,자동8,12,3등급,160,다목적형
그랜드스타렉스(PE2) 2.5디젤 하이루프(12인),현대,경유,2497,자동5,9.2,5등급,213,승합
Mercedes-AMG C43 4Matic Coupe,벤츠,휘발유,2996,자동9,9.4,4등급,187,일반형
쏘나타(LF)개조차 2.0LPI AT_택시,현대,LPG,1999,자동6,9.4,4등급,139,일반형
A4 40 TFSI,아우디,휘발유,1984,자동7,12.3,3등급,139,일반형
짚 그랜드 체로키,크라이슬러,경유,2987,자동8,9.7,4등급,201,다목적형
INFINITI QX50 2.0 AWD,닛산,휘발유,1997,무단변속,9.8,4등급,176,다목적형
GLC350 e 4Matic,벤츠,전기+휘발유,1991,자동7,2.3 / 9.7,PHEV,92,다목적형
INFINITI QX50 2.0,닛산,휘발유,1997,무단변속,10.3,4등급,167,다목적형
벨로스터 N 2.0T-GDI (PP),현대,휘발유,1998,수동6,10.5,4등급,162,일반형
벨로스터 N 2.0T-GDI (STD),현대,휘발유,1998,수동6,10.7,4등급,159,일반형
"쏘렌토(19MY) 2.2디젤 2WD ISG 5인 (18"" 타이어)",기아,경유,2199,자동8,13.6,3등급,140,다목적형
"쏘렌토(19MY) 2.0디젤 2WD ISG 5인 (19"" 타이어)",기아,경유,1995,자동8,13.1,3등급,146,다목적형
"쏘렌토(19MY) 2.2디젤 2WD ISG 5인(19"" 타이어)",기아,경유,2199,자동8,13.2,3등급,144,다목적형
"쏘렌토(19MY) 2.0디젤 2WD ISG 7인 (18"" 타이어)",기아,경유,1995,자동8,13.2,3등급,144,다목적형
"쏘렌토(19MY) 2.2디젤 2WD ISG 7인(19"" 타이어)",기아,경유,2199,자동8,13.2,3등급,144,다목적형
"쏘렌토(19MY) 2.2디젤 2WD ISG 7인(18"" 타이어)",기아,경유,2199,자동8,13.4,3등급,142,다목적형
MINI Countryman John Cooper Works ALL4,MINI,휘발유,1998,자동8,10.2,4등급,164,다목적형
렉서스 LS500 AWD,토요타,휘발유,3445,자동10,8,5등급,219,일반형
"쏘렌토(19MY) 2.0디젤 2WD ISG 5인 (18"" 타이어)",기아,경유,1995,자동8,13.8,2등급,138,다목적형
"쏘렌토(19MY) 2.0디젤 2WD ISG 7인 (19"" 타이어)",기아,경유,1995,자동8,13.1,3등급,146,다목적형
K5 2.0CVVL 개조차_18인치 타이어 (15),기아,휘발유,1999,자동6,11.6,3등급,144,일반형
K5 2.0CVVL 개조차_17인치 타이어 (15),기아,휘발유,1999,자동6,12.1,3등급,137,일반형
ACCORD HYBRID,혼다,휘발유,1993,무단변속,18.9,1등급,82,일반형
그랜드스타렉스(PE2) 2.4LPI 어린이버스 (15인),현대,LPG,2359,자동4,5.8,5등급,228,승합
BMW i3 94Ah,BMW,전기,,없음,5.4,고속(전기),0,일반형
BMW i3 94Ah,BMW,전기,,없음,5.4,고속(전기),0,일반형
Mustang 2.3 Convertible,포드,휘발유,2261,자동10,9.4,4등급,179,일반형
Mustang GT 5.0 Convertible,포드,휘발유,5035,자동10,7.5,5등급,227,일반형
Mustang GT 5.0 Coupe,포드,휘발유,5035,자동10,7.5,5등급,227,일반형
Mustang 2.3 Coupe,포드,휘발유,2261,자동10,9.4,4등급,179,일반형
트랙스 1.6 디젤,한국지엠,경유,1598,자동6,14.1,2등급,135,기타형
코나 전기자동차 (도심형),현대,전기,,없음,5.8,고속(전기),0,다목적형
코나 전기자동차 (기본형),현대,전기,,없음,5.6,고속(전기),0,다목적형
코나 전기자동차 (도심형),현대,전기,,없음,5.8,고속(전기),0,다목적형
코나 전기자동차 (기본형),현대,전기,,없음,5.6,고속(전기),0,다목적형
K9(RJ) 3.8GDI 2WD 19인치 타이어,기아,휘발유,3778,자동8,8.8,5등급,196,일반형
K9(RJ) 3.8GDI 2WD 18인치 타이어,기아,휘발유,3778,자동8,9,5등급,192,일반형
K9(RJ) 3.3T-GDI 2WD 19인치 타이어,기아,휘발유,3342,자동8,8.7,5등급,199,일반형
K9(RJ) 3.3GDI 2WD 19인치 타이어,기아,휘발유,3342,자동8,8.7,5등급,197,일반형
K9(RJ) 3.3GDI 2WD 18인치 타이어,기아,휘발유,3342,자동8,9.1,5등급,188,일반형
그랜드스타렉스(PE2) 2.4LPI 어린이보호차 (12인),현대,LPG,2359,자동4,5.8,5등급,228,승합
레인지로버 5.0SC LWB,랜드로버,휘발유,4999,자동8,5.6,5등급,309,다목적형
재규어 E-PACE P250,재규어,휘발유,1997,자동9,9,5등급,189,다목적형
레인지로버 스포츠 5.0SC SVR,랜드로버,휘발유,5000,자동8,6.1,5등급,285,다목적형
아이오닉 전기차 (18MY),현대,전기,,없음,6.3,고속(전기),0,일반형
아이오닉 전기차 (18MY),현대,전기,,없음,6.3,고속(전기),0,일반형
"카니발 2.2디젤 2WD 7인승 (19"" 타이어)",기아,경유,2199,자동8,11.3,4등급,171,기타형
카니발 3.3GDI 7인승 (19'' 타이어),기아,휘발유,3342,자동8,8.2,5등급,210,기타형
K9(RJ) 3.3GDI AWD 18인치 타이어,기아,휘발유,3342,자동8,8.5,5등급,203,일반형
"카니발 2.2디젤 2WD 9인승 (19"" 타이어)",기아,경유,2199,자동8,11.3,4등급,171,기타형
카니발 2.2디젤 2WD 9인승 (18'' 타이어),기아,경유,2199,자동8,11.4,4등급,170,기타형
카니발 3.3GDI 9인승 (19'' 타이어),기아,휘발유,3342,자동8,8.2,5등급,210,기타형
K9(RJ) 3.3GDI AWD 19인치 타이어,기아,휘발유,3342,자동8,8.4,5등급,206,일반형
K9(RJ) 3.3T-GDI AWD 19인치 타이어,기아,휘발유,3342,자동8,8.1,5등급,213,일반형
K9(RJ) 5.0GDI AWD 19인치 타이어,기아,휘발유,5038,자동8,7.5,5등급,231,일반형
K9(RJ) 3.8GDI AWD 19인치 타이어,기아,휘발유,3778,자동8,8.3,5등급,207,일반형
K9(RJ) 3.8GDI AWD 18인치 타이어,기아,휘발유,3778,자동8,8.4,5등급,204,일반형
캐딜락 ATS COUPE,GM,휘발유,1998,자동8,11,4등급,157,일반형
"카니발 2.2디젤 2WD 11인승 (18"" 타이어)",기아,경유,2199,자동8,11.3,4등급,172,일반형
"카니발 2.2디젤 2WD 11인승 (17"" 타이어)",기아,경유,2199,자동8,11.4,4등급,169,일반형
렉서스 RC350,토요타,휘발유,3456,자동8,9,5등급,194,일반형
718 카이맨 GTS,포르쉐,휘발유,2497,자동7,8.9,5등급,193,일반형
718 박스터 GTS,포르쉐,휘발유,2497,자동7,8.9,5등급,193,일반형
Danigo(다니고),(주)대창모터스,전기,,없음,5.3,저속(전기),0,일반형
BMW M5,BMW,휘발유,4395,자동8,8.1,5등급,218,일반형
싼타페 2.2 디젤 AWD 5인 (19'' 타이어),현대,경유,2199,자동8,12,3등급,160,다목적형
싼타페 2.2 디젤 AWD 5인 (18'' 타이어),현대,경유,2199,자동8,12.3,3등급,156,다목적형
싼타페 2.0T-GDI 2WD 5인,현대,휘발유,1998,자동8,9.5,4등급,180,다목적형
싼타페 2.0T-GDI 4WD 5인,현대,휘발유,1998,자동8,9,5등급,190,다목적형
싼타페 2.0 디젤 AWD 5인 (19'' 타이어),현대,경유,1995,자동8,12,3등급,160,다목적형
싼타페 2.0 디젤 AWD 5인 (18'' 타이어),현대,경유,1995,자동8,12.3,3등급,156,다목적형
싼타페 2.0 디젤 2WD 5인 (18'' 타이어),현대,경유,1995,자동8,13.8,2등급,138,다목적형
Lincoln MKZ Hybrid,포드,휘발유,1999,무단변속,16.3,1등급,97,일반형
캐딜락 ATS RWD,GM,휘발유,1998,자동8,11,4등급,157,일반형
캐딜락 CTS AWD,GM,휘발유,1998,자동8,9.5,4등급,185,일반형
싼타페 2.0 디젤 AWD 7인 (19'' 타이어),현대,경유,1995,자동8,12,3등급,160,다목적형
싼타페 2.0 디젤 AWD 7인 (18'' 타이어),현대,경유,1995,자동8,12.3,3등급,156,다목적형
싼타페 2.0T-GDI 2WD 7인,현대,휘발유,1998,자동8,9.5,4등급,180,다목적형
싼타페 2.0T-GDI 4WD 7인,현대,휘발유,1998,자동8,9,5등급,190,다목적형
싼타페 2.2 디젤 AWD 7인 (19'' 타이어),현대,경유,2199,자동8,12,3등급,160,다목적형
싼타페 2.2 디젤 AWD 7인 (18'' 타이어),현대,경유,2199,자동8,12.3,3등급,156,다목적형
싼타페 2.2 디젤 2WD 5인 (19'' 타이어),현대,경유,2199,자동8,13.3,3등급,144,다목적형
싼타페 2.2 디젤 2WD 5인 (18'' 타이어),현대,경유,2199,자동8,13.6,3등급,140,다목적형
싼타페 2.2 디젤 2WD 7인 (19'' 타이어),현대,경유,2199,자동8,12.8,3등급,149,다목적형
싼타페 2.2 디젤 2WD 7인 (18'' 타이어),현대,경유,2199,자동8,13,3등급,146,다목적형
싼타페 2.0 디젤 2WD 7인 (18'' 타이어),현대,경유,1995,자동8,13.8,2등급,138,다목적형
싼타페 2.0 디젤 2WD 7인 (19'' 타이어),현대,경유,1995,자동8,13.1,3등급,146,다목적형
E220 d Cabriolet,벤츠,경유,1950,자동9,14.2,2등급,134,일반형
K3 1.6 가솔린 CVT (17인치 타이어),기아,휘발유,1598,무단변속,14.1,2등급,117,일반형
K3 1.6 가솔린 CVT (15인치 타이어),기아,휘발유,1598,무단변속,15.2,2등급,108,일반형
K3 1.6 가솔린 CVT (16인치 타이어),기아,휘발유,1598,무단변속,14.4,2등급,114,일반형
싼타페 2.0 디젤 2WD 5인 (19'' 타이어),현대,경유,1995,자동8,13.5,3등급,141,다목적형
ACCORD 2.0T,혼다,휘발유,1996,자동10,10.8,4등급,158,일반형
CHEVROLET EQUINOX FWD,GM,경유,1598,자동6,13.3,3등급,143,다목적형
CHEVROLET EQUINOX AWD,GM,경유,1598,자동6,12.9,3등급,148,다목적형
Mercedces-AMG GT,벤츠,휘발유,3982,자동7,8,5등급,222,일반형
재규어 F-TYPE P300 Convertible,재규어,휘발유,1997,자동8,9.8,4등급,172,일반형
재규어 F-TYPE P300 Coupe,재규어,휘발유,1997,자동8,9.8,4등급,172,일반형
넥쏘 수소전기차(17인치타이어),현대,수소,,없음,0,고속(수소),0,다목적형
K5 1.6T-GDI 개조차_17인치 타이어 (15),기아,휘발유,1591,자동7,12.8,3등급,130,일반형
K5 2.0CVVL 개조차_16인치 타이어 (15),기아,휘발유,1999,자동6,12.3,3등급,136,일반형
K5 1.6T-GDI 개조차_18인치 타이어 (15),기아,휘발유,1591,자동7,12.3,3등급,134,일반형
